target_name,type,Lbol,Tbol
,,,
IRAS03245,protostar,6.1,45
,,,
IRAS03301,protostar,4,350
,,,
HD245906,Herbig,0,0
,,,
V1331Cyg,Fuor,21,1130
,,,
L1448-MM,protostar,8.4,47
,,,
HD144668,Herbig,0,0
,,,
WL12,protostar,1.6,235
,,,
Serpens-SMM3,protostar,0,0
,,,
IRAM04191,protostar,0.11,31
,,,
IRAS12496,protostar,35.9,579
,,,
FUOri,Fuor,116,2440
,,,
RNO91,protostar,2.3,114
,,,
Ced110-IRS4,protostar,0.94,52
,,,
HD144432,Herbig,0,0
,,,
L723-MM,protostar,3.7,61
,,,
TMC1,protostar,0.71,159
,,,
RCrA-IRS5A,protostar,3.3,145
,,,
EC82,T Tauri,0,0
,,,
L1014,protostar,0.26,81
,,,
HD141569,Herbig,0,0
,,,
TMC1A,protostar,2.4,167
,,,
ABAur,Herbig,0,0
,,,
L1157,protostar,6.3,37
,,,
SCra,T Tauri,0,0
,,,
HD150193,Herbig,0,0
,,,
VLA1623,protostar,3.85,30
,,,
B335,protostar,0.65,41
,,,
L1527,protostar,1.7,67
,,,
HH46,protostar,24.5,100
,,,
Elias29,protostar,20.1,387
,,,
HD169142,Herbig,0,0
,,,
RULup,T Tauri,0,0
,,,
HD36112,Herbig,0,0
,,,
HD142666,Herbig,0,0
,,,
HD203024,Herbig,0,0
,,,
HD97048,Herbig,0,0
,,,
L1455-IRS3,protostar,0.35,171
,,,
V1515Cyg,Fuor,101,1390
,,,
HD179218,Herbig,0,0
,,,
HD104237,Herbig,0,0
,,,
DGTau,T Tauri,0,0
,,,
IRS46,protostar,5.2,211
,,,
HD142527,Herbig,0,0
,,,
HD98922,Herbig,0,0
,,,
Serpens-SMM4,protostar,0,0
,,,
RNO90,T Tauri,0,0
,,,
AS205,T Tauri,0,0
,,,
RYLup,T Tauri,0,0
,,,
HD100546,Herbig,0,0
,,,
HD139614,Herbig,0,0
,,,
HD163296,Herbig,0,0
,,,
RCrA-IRS7B,protostar,14.9,53
,,,
RCrA-IRS7C,protostar,34.1,112
,,,
V1057Cyg,Fuor,128,1070
,,,
IRAS15398,protostar,1.1,52
,,,
HD135344B,Herbig,0,0
,,,
V1735Cyg,Fuor,0,0
,,,
HD38120,Herbig,0,0
,,,
BHR71,protostar,12,47
,,,
GSS30-IRS1,protostar,13.6,146
,,,
SR21,T Tauri,0,0
,,,
HTLup,T Tauri,0,0
,,,
L483,protostar,9.4,47
,,,
HD35187,Herbig,0,0
,,,
L1551-IRS5,protostar,24.3,106
,,,
TMR1,protostar,2.7,136
,,,
L1489,protostar,3.6,224
,,,
IRS48,Herbig,0,0
,,,
B1-c,protostar,4.7,51
,,,
IRS63,T Tauri,0,0
,,,
B1-a,protostar,2.2,86
,,,
HD50138,Herbig,0,0
,,,
HD100453,Herbig,0,0
